               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.03595,           0.0091026,           0.0079688,             0.99313,                   1,               0.995,             0.78177,              0.0149,           0.0037142,           0.0022825,            0.008515,            0.008515,            0.008515
                  77,            0.027069,           0.0082776,           0.0058958,             0.99358,                   1,               0.995,             0.82209,            0.011843,           0.0033431,           0.0022754,           0.0084952,           0.0084952,           0.0084952
                  78,            0.026324,           0.0093857,           0.0079654,             0.81721,             0.99587,             0.99391,             0.74074,            0.020469,           0.0034865,           0.0023947,           0.0084754,           0.0084754,           0.0084754
                  79,            0.027653,           0.0081198,           0.0046308,             0.98727,                   1,               0.995,             0.81544,            0.014721,           0.0036242,            0.002795,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031541,           0.0081832,           0.0063318,              0.9887,             0.99837,               0.995,              0.7689,            0.015616,           0.0036077,           0.0022735,           0.0084358,           0.0084358,           0.0084358
                  81,            0.026711,           0.0078759,           0.0054555,             0.99559,             0.99437,               0.995,             0.83034,            0.014184,           0.0037624,           0.0022243,            0.008416,            0.008416,            0.008416
                  82,            0.032618,           0.0089435,           0.0070087,             0.99454,             0.96645,             0.99338,             0.79693,            0.018626,           0.0033344,           0.0046437,           0.0083962,           0.0083962,           0.0083962
                  83,             0.03215,           0.0083934,           0.0053001,             0.94538,             0.95683,             0.98754,             0.77062,            0.013642,           0.0038365,            0.006976,           0.0083764,           0.0083764,           0.0083764
                  84,            0.032085,            0.007862,           0.0075003,             0.99256,                   1,               0.995,             0.80708,            0.015116,           0.0035798,           0.0021452,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027177,           0.0081213,           0.0045355,             0.99544,              0.9989,               0.995,             0.67171,            0.020766,           0.0038274,           0.0020332,           0.0083368,           0.0083368,           0.0083368
                  86,            0.033083,           0.0085609,           0.0079943,             0.99147,             0.99832,               0.995,             0.77568,            0.014778,           0.0039615,           0.0022691,            0.008317,            0.008317,            0.008317
                  87,            0.026514,           0.0082279,           0.0056848,             0.97674,             0.99421,             0.99425,             0.75893,            0.013923,           0.0036578,           0.0034703,           0.0082972,           0.0082972,           0.0082972
                  88,            0.027937,           0.0077023,            0.004559,             0.97994,             0.98498,               0.995,             0.79999,            0.012968,           0.0036488,           0.0023243,           0.0082774,           0.0082774,           0.0082774
                  89,            0.027051,           0.0079575,           0.0053021,             0.97631,             0.99621,               0.995,             0.73673,            0.017847,           0.0034412,           0.0029789,           0.0082576,           0.0082576,           0.0082576
                  90,            0.035347,           0.0089837,           0.0074715,             0.98544,             0.93733,             0.98848,             0.81415,            0.013584,           0.0033447,           0.0036142,           0.0082378,           0.0082378,           0.0082378
                  91,            0.026178,            0.008185,           0.0051291,             0.97912,             0.96783,             0.99268,             0.82732,            0.013908,            0.003574,           0.0044625,            0.008218,            0.008218,            0.008218
                  92,            0.028809,           0.0085301,           0.0044567,             0.96476,             0.98305,             0.99429,             0.80761,            0.016613,           0.0036137,           0.0041981,           0.0081982,           0.0081982,           0.0081982
                  93,            0.033369,           0.0088025,           0.0067943,             0.97724,             0.98314,               0.995,             0.81684,            0.013185,           0.0036607,           0.0044178,           0.0081784,           0.0081784,           0.0081784
                  94,            0.030668,           0.0083403,           0.0076562,             0.99135,             0.99476,               0.995,             0.80211,            0.012394,           0.0035561,           0.0032454,           0.0081586,           0.0081586,           0.0081586
                  95,            0.033355,           0.0089046,           0.0082396,             0.99161,                   1,               0.995,             0.83354,            0.011403,           0.0033873,           0.0029654,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029172,            0.008768,            0.011554,             0.94394,             0.92754,             0.99129,             0.78638,            0.013556,            0.003298,           0.0061934,            0.008119,            0.008119,            0.008119
                  97,            0.028156,           0.0078528,            0.012732,             0.94026,             0.91941,             0.98862,             0.75693,            0.013115,           0.0033512,            0.007304,           0.0080992,           0.0080992,           0.0080992
                  98,            0.024265,           0.0089805,           0.0069853,             0.98311,             0.99256,               0.995,             0.77449,            0.013005,           0.0035009,           0.0027483,           0.0080794,           0.0080794,           0.0080794
                  99,             0.03267,            0.008901,           0.0098562,             0.99488,                   1,               0.995,             0.78263,            0.013944,           0.0034319,           0.0021049,           0.0080596,           0.0080596,           0.0080596
                 100,            0.028242,           0.0078152,           0.0046844,             0.99598,                   1,               0.995,             0.79999,            0.015954,           0.0034122,           0.0022185,           0.0080398,           0.0080398,           0.0080398
